Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,DL_B30,DL_B31,DL_B32,DL_B33,DL_B34,DL_B35,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29,UL_B30,UL_B31,UL_B32,UL_B33,UL_B34,UL_B35
Sun Jul 19 10:54:32 2026,108,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 158, 6, 156, 0, 0, 0, 0, 0, 1, 0, 0, 39, 78, 39, 78, 0, 1, 5, 102, 0, 66, 8, 212, 20, 120, 254, 161, 13, 13, 253, 53, 151, 47, 2, 255
Sun Jul 19 10:54:33 2026,109,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 157, 6, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 79, 39, 79, 0, 1, 5, 99, 0, 47, 8, 212, 20, 130, 254, 161, 13, 5, 253, 53, 151, 39, 2, 255
Sun Jul 19 10:54:34 2026,110,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 159, 6, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 80, 39, 80, 0, 1, 5, 103, 0, 81, 8, 212, 20, 120, 254, 161, 12, 205, 253, 53, 150, 248, 2, 254
Sun Jul 19 10:54:36 2026,111,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 170, 6, 156, 0, 0, 0, 0, 0, 1, 0, 0, 39, 81, 39, 81, 0, 1, 5, 113, 0, 80, 8, 212, 20, 120, 254, 161, 12, 142, 253, 53, 150, 231, 2, 254
Sun Jul 19 10:54:37 2026,112,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 4, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 82, 39, 82, 0, 1, 5, 102, 0, 54, 8, 212, 20, 120, 254, 161, 12, 146, 253, 53, 151, 20, 2, 255
Sun Jul 19 10:54:38 2026,113,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 158, 6, 159, 0, 0, 0, 0, 0, 1, 0, 0, 39, 83, 39, 83, 0, 1, 5, 102, 0, 52, 8, 212, 20, 120, 254, 161, 12, 146, 253, 53, 151, 20, 2, 255
Sun Jul 19 10:54:39 2026,114,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 157, 6, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 84, 39, 84, 0, 1, 5, 105, 0, 77, 8, 212, 20, 120, 254, 161, 12, 146, 253, 53, 151, 20, 2, 255
Sun Jul 19 10:54:41 2026,115,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 2, 156, 0, 0, 0, 0, 0, 1, 0, 0, 39, 85, 39, 85, 0, 1, 5, 104, 0, 81, 8, 212, 20, 130, 254, 161, 12, 146, 253, 53, 151, 20, 2, 255
Sun Jul 19 10:54:42 2026,116,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 159, 4, 158, 0, 0, 0, 0, 0, 1, 0, 0, 39, 86, 39, 86, 0, 1, 5, 94, 0, 52, 8, 212, 20, 130, 254, 161, 12, 146, 253, 53, 151, 20, 2, 255
Sun Jul 19 10:54:44 2026,117,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 4, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 87, 39, 87, 0, 1, 5, 100, 0, 76, 8, 212, 20, 130, 254, 161, 12, 145, 253, 53, 151, 64, 2, 255
Sun Jul 19 10:54:45 2026,118,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 159, 2, 156, 0, 0, 0, 0, 0, 1, 0, 0, 39, 88, 39, 88, 0, 1, 5, 104, 0, 86, 8, 212, 20, 130, 254, 161, 12, 154, 253, 53, 151, 68, 2, 254
Sun Jul 19 10:54:46 2026,119,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 4, 156, 0, 0, 0, 0, 0, 1, 0, 0, 39, 89, 39, 89, 0, 1, 5, 96, 0, 63, 8, 212, 20, 130, 254, 161, 12, 156, 253, 53, 151, 98, 2, 254
Sun Jul 19 10:54:47 2026,120,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 6, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 90, 39, 90, 0, 1, 5, 96, 0, 47, 8, 212, 20, 130, 254, 161, 12, 156, 253, 53, 151, 98, 2, 254
